PracticeCode,GPPracticeName,PracticeListSize,AddressLine1,AddressLine2,AddressLine3,AddressLine4,Postcode,TelephoneNumber,PracticeType,Dispensing,HB,HSCP,DataZone,GPCluster
10002,Muirhead Medical Centre,8199,Muirhead Medical Centre,Liff Road,Muirhead,,DD2 5NH,01382   580   264,17J,N,S08000030,S37000007,S01007129,Dundee 4
10017,The Blue Practice,6739,The Blue Practice,Crieff Medical Centre,King Street,Crieff,PH7 3SA,01764   652   283,17J,N,S08000030,S37000033,S01011870,Strathearn Cluster
10036,Aberfeldy And Kinloch Rannoch Medical Practice,4825,Aberfeldy And Kinloch Rannoch Medical Practice,Taybridge Road,Aberfeldy,Perthshire,PH15 2BL,01887   820   366,17J,Y,S08000030,S37000033,S01012014,North West Perthshire
10106,Grove Health Centre,6222,Grove Health Centre,129 Dundee Road,Broughty Ferry,Dundee,DD5 1DU,01382   778   881,17J,N,S08000030,S37000007,S01007758,Dundee 2
10125,Alyth Health Centre,4462,Alyth Health Centre,New Alyth Road,Alyth,,PH11 8EQ,01828   632   317,17J,N,S08000030,S37000033,S01011975,Strathmore Cluster
10182,Arbroath Medical Centre,10099,Arbroath Medical Centre,7 Hill Place,Arbroath,,DD11 1AD,01241   431   144,17J,N,S08000030,S37000003,S01007187,Angus South East
10233,The Abbey Practice,6730,Abbey Health Centre,East Abbey Street,Arbroath,,DD11 1EN,01241   872   692,2C,N,S08000030,S37000003,S01007187,Angus South East
10286,"East Practice, Springfield Medical Centre",4673,"East Practice, Springfield Medical Centre",30 Ponderlaw Street,Arbroath,,DD11 1ES,01241   870   311,17J,N,S08000030,S37000003,S01007189,Angus South East
10322,"West Practice, Springfield Medical Centre",8574,"West Practice, Springfield Medical Centre",30 Ponderlaw Street,Arbroath,,DD11 1ES,01241   870   307,17J,N,S08000030,S37000003,S01007189,Angus South East
10361,St Margaret's Health Centre,10828,St Margaret's Health Centre,St Margarets Drive,Auchterarder,,PH3 1JH,01764   662   614,17J,N,S08000030,S37000033,S01011854,Strathearn Cluster
10407,Ardblair Medical Practice,7918,Ardblair Medical Practice,Ann Street,Blairgowrie,Perthshire,PH10 6EF,01250   872   033,17J,N,S08000030,S37000033,S01011991,Strathmore Cluster
10445,Strathmore Surgery,3745,Strathmore Surgery,Jessie Street,Blairgowrie,Perthshire,PH10 6BT,01250   872   552,17J,N,S08000030,S37000033,S01011993,Strathmore Cluster
10498,Brechin Medical Practice,8630,Brechin Medical Practice,Brechin Health Centre,Infirmary Street,Brechin,DD9 7AN,01356   624   411,2C,N,S08000030,S37000003,S01007234,North East/Angus
10638,Carnoustie Medical Group,13072,Carnoustie Medical Group,Parkview Primary Care Centre,Barry Road,Carnoustie,DD7 7RB,01241   859   888,17J,N,S08000030,S37000003,S01007160,Angus South West
10708,Comrie Medical Centre,2698,Comrie Medical Centre,Strowan Road,Comrie,Perthshire,PH6 2LW,01764   670   217,17J,N,S08000030,S37000033,S01011859,Strathearn Cluster
