,GPPractice,depression,alzheimers,blood pressure,hypertension,diabeties,cardiovascular disease,insomnia,addiction,social anxiety,NumberOfPaidItems,loneliness,Date,HBT,Postcode,pcstrip
0,10002,594,20,700,704,107,485,41,0,3,9510,1951,202201,S08000030,DD2 5NH,DD2 5NH
1,10002,594,20,700,704,107,485,41,0,3,9510,1951,202201,S08000030,DD2 5NH,DD2 5NH
2,10002,594,20,700,704,107,485,41,0,3,9510,1951,202201,S08000030,DD2 5NH,DD2 5NH
3,10017,550,35,658,664,89,420,56,0,5,8734,1814,202201,S08000030,PH7 3SA,PH7 3SA
4,10017,550,35,658,664,89,420,56,0,5,8734,1814,202201,S08000030,PH7 3SA,PH7 3SA
5,10017,550,35,658,664,89,420,56,0,5,8734,1814,202201,S08000030,PH7 3SA,PH7 3SA
6,10036,376,11,579,582,62,344,59,0,6,6136,1434,202201,S08000030,PH15 2BL,PH15 2BL
7,10036,376,11,579,582,62,344,59,0,6,6136,1434,202201,S08000030,PH15 2BL,PH15 2BL
8,10036,376,11,579,582,62,344,59,0,6,6136,1434,202201,S08000030,PH15 2BL,PH15 2BL
9,10106,513,34,719,724,106,505,39,1,2,8541,1922,202201,S08000030,DD5 1DU,DD5 1DU
10,10106,513,34,719,724,106,505,39,1,2,8541,1922,202201,S08000030,DD5 1DU,DD5 1DU
11,10106,513,34,719,724,106,505,39,1,2,8541,1922,202201,S08000030,DD5 1DU,DD5 1DU
12,10125,425,15,453,454,91,367,44,0,4,6673,1396,202201,S08000030,PH11 8EQ,PH11 8EQ
13,10125,425,15,453,454,91,367,44,0,4,6673,1396,202201,S08000030,PH11 8EQ,PH11 8EQ
14,10125,425,15,453,454,91,367,44,0,4,6673,1396,202201,S08000030,PH11 8EQ,PH11 8EQ
15,10182,902,27,989,997,195,682,117,0,29,13971,2920,202201,S08000030,DD11 1AD,DD11 1AD
16,10182,902,27,989,997,195,682,117,0,29,13971,2920,202201,S08000030,DD11 1AD,DD11 1AD
17,10182,902,27,989,997,195,682,117,0,29,13971,2920,202201,S08000030,DD11 1AD,DD11 1AD
18,10233,655,18,476,477,98,346,64,0,4,8640,1658,202201,S08000030,DD11 1EN,DD11 1EN
19,10233,655,18,476,477,98,346,64,0,4,8640,1658,202201,S08000030,DD11 1EN,DD11 1EN
20,10233,655,18,476,477,98,346,64,0,4,8640,1658,202201,S08000030,DD11 1EN,DD11 1EN
21,10286,480,20,381,382,64,288,33,0,12,6336,1267,202201,S08000030,DD11 1ES,DD11 1ES
22,10286,480,20,381,382,64,288,33,0,12,6336,1267,202201,S08000030,DD11 1ES,DD11 1ES
23,10286,480,20,381,382,64,288,33,0,12,6336,1267,202201,S08000030,DD11 1ES,DD11 1ES
24,10322,816,31,660,668,155,549,53,0,8,10930,2272,202201,S08000030,DD11 1ES,DD11 1ES
25,10322,816,31,660,668,155,549,53,0,8,10930,2272,202201,S08000030,DD11 1ES,DD11 1ES
26,10322,816,31,660,668,155,549,53,0,8,10930,2272,202201,S08000030,DD11 1ES,DD11 1ES
27,10361,887,44,909,913,176,631,111,0,14,12605,2762,202201,S08000030,PH3 1JH,PH3 1JH
28,10361,887,44,909,913,176,631,111,0,14,12605,2762,202201,S08000030,PH3 1JH,PH3 1JH
29,10361,887,44,909,913,176,631,111,0,14,12605,2762,202201,S08000030,PH3 1JH,PH3 1JH
30,10407,701,56,798,799,137,530,102,0,15,11867,2325,202201,S08000030,PH10 6EF,PH10 6EF
31,10407,701,56,798,799,137,530,102,0,15,11867,2325,202201,S08000030,PH10 6EF,PH10 6EF
32,10407,701,56,798,799,137,530,102,0,15,11867,2325,202201,S08000030,PH10 6EF,PH10 6EF
33,10445,547,31,426,428,77,239,64,0,7,6543,1386,202201,S08000030,PH10 6BT,PH10 6BT
34,10445,547,31,426,428,77,239,64,0,7,6543,1386,202201,S08000030,PH10 6BT,PH10 6BT
35,10445,547,31,426,428,77,239,64,0,7,6543,1386,202201,S08000030,PH10 6BT,PH10 6BT
36,10498,832,17,845,846,166,585,49,0,51,11537,2495,202201,S08000030,DD9 7AN,DD9 7AN
37,10498,832,17,845,846,166,585,49,0,51,11537,2495,202201,S08000030,DD9 7AN,DD9 7AN
38,10498,832,17,845,846,166,585,49,0,51,11537,2495,202201,S08000030,DD9 7AN,DD9 7AN
39,10638,1584,44,1294,1300,236,905,142,1,13,19762,4212,202201,S08000030,DD7 7RB,DD7 7RB
40,10638,1584,44,1294,1300,236,905,142,1,13,19762,4212,202201,S08000030,DD7 7RB,DD7 7RB
41,10638,1584,44,1294,1300,236,905,142,1,13,19762,4212,202201,S08000030,DD7 7RB,DD7 7RB
42,10708,229,24,419,422,74,300,37,0,9,4970,1086,202201,S08000030,PH6 2LW,PH6 2LW
43,10708,229,24,419,422,74,300,37,0,9,4970,1086,202201,S08000030,PH6 2LW,PH6 2LW
44,10708,229,24,419,422,74,300,37,0,9,4970,1086,202201,S08000030,PH6 2LW,PH6 2LW
45,10746,589,31,637,641,107,410,45,0,5,8389,1823,202201,S08000030,PH13 9DD,PH13 9DD
46,10746,589,31,637,641,107,410,45,0,5,8389,1823,202201,S08000030,PH13 9DD,PH13 9DD
47,10746,589,31,637,641,107,410,45,0,5,8389,1823,202201,S08000030,PH13 9DD,PH13 9DD
48,10835,321,26,409,412,70,296,45,1,5,5588,1171,202201,S08000030,PH7 3SA,PH7 3SA
49,10835,321,26,409,412,70,296,45,1,5,5588,1171,202201,S08000030,PH7 3SA,PH7 3SA
50,10835,321,26,409,412,70,296,45,1,5,5588,1171,202201,S08000030,PH7 3SA,PH7 3SA
51,11005,526,16,406,408,81,291,98,1,1,7219,1421,202201,S08000030,DD4 6PP,DD4 6PP
52,11005,526,16,406,408,81,291,98,1,1,7219,1421,202201,S08000030,DD4 6PP,DD4 6PP
53,11005,526,16,406,408,81,291,98,1,1,7219,1421,202201,S08000030,DD4 6PP,DD4 6PP
54,11058,735,15,477,478,115,416,76,1,8,8777,1836,202201,S08000030,DD1 1PF,DD1 1PF
55,11058,735,15,477,478,115,416,76,1,8,8777,1836,202201,S08000030,DD1 1PF,DD1 1PF
56,11058,735,15,477,478,115,416,76,1,8,8777,1836,202201,S08000030,DD1 1PF,DD1 1PF
57,11096,669,12,467,469,100,383,60,0,5,8048,1693,202201,S08000030,DD2 2HZ,DD2 2HZ
58,11096,669,12,467,469,100,383,60,0,5,8048,1693,202201,S08000030,DD2 2HZ,DD2 2HZ
59,11096,669,12,467,469,100,383,60,0,5,8048,1693,202201,S08000030,DD2 2HZ,DD2 2HZ
60,11128,1012,26,843,846,178,606,48,1,4,13163,2717,202201,S08000030,DD4 6EL,DD4 6EL
61,11128,1012,26,843,846,178,606,48,1,4,13163,2717,202201,S08000030,DD4 6EL,DD4 6EL
62,11128,1012,26,843,846,178,606,48,1,4,13163,2717,202201,S08000030,DD4 6EL,DD4 6EL
63,11166,877,23,739,744,161,518,67,0,14,11084,2390,202201,S08000030,DD3 8DB,DD3 8DB
64,11166,877,23,739,744,161,518,67,0,14,11084,2390,202201,S08000030,DD3 8DB,DD3 8DB
65,11166,877,23,739,744,161,518,67,0,14,11084,2390,202201,S08000030,DD3 8DB,DD3 8DB
66,11171,1026,35,891,895,131,692,76,0,17,13787,2855,202201,S08000030,DD2 4AD,DD2 4AD
67,11171,1026,35,891,895,131,692,76,0,17,13787,2855,202201,S08000030,DD2 4AD,DD2 4AD
68,11171,1026,35,891,895,131,692,76,0,17,13787,2855,202201,S08000030,DD2 4AD,DD2 4AD
69,11289,1068,13,708,710,142,451,65,0,20,11417,2449,202201,S08000030,DD4 6DG,DD4 6DG
70,11289,1068,13,708,710,142,451,65,0,20,11417,2449,202201,S08000030,DD4 6DG,DD4 6DG
71,11289,1068,13,708,710,142,451,65,0,20,11417,2449,202201,S08000030,DD4 6DG,DD4 6DG
72,11306,719,36,811,813,132,674,124,0,16,12219,2498,202201,S08000030,DD5 1EP,DD5 1EP
73,11306,719,36,811,813,132,674,124,0,16,12219,2498,202201,S08000030,DD5 1EP,DD5 1EP
74,11306,719,36,811,813,132,674,124,0,16,12219,2498,202201,S08000030,DD5 1EP,DD5 1EP
75,11363,1035,17,655,658,118,427,104,1,35,10385,2360,202201,S08000030,DD1 5LA,DD1 5LA
76,11363,1035,17,655,658,118,427,104,1,35,10385,2360,202201,S08000030,DD1 5LA,DD1 5LA
77,11363,1035,17,655,658,118,427,104,1,35,10385,2360,202201,S08000030,DD1 5LA,DD1 5LA
78,11382,1237,27,774,778,154,604,86,0,11,13945,2886,202201,S08000030,DD4 6RB,DD4 6RB
79,11382,1237,27,774,778,154,604,86,0,11,13945,2886,202201,S08000030,DD4 6RB,DD4 6RB
80,11382,1237,27,774,778,154,604,86,0,11,13945,2886,202201,S08000030,DD4 6RB,DD4 6RB
81,11414,506,6,335,338,64,263,26,0,11,5265,1203,202201,S08000030,DD1 4JH,DD1 4JH
82,11414,506,6,335,338,64,263,26,0,11,5265,1203,202201,S08000030,DD1 4JH,DD1 4JH
83,11486,852,15,679,679,160,545,59,5,8,10177,2315,202201,S08000030,DD4 6QY,DD4 6QY
84,11486,852,15,679,679,160,545,59,5,8,10177,2315,202201,S08000030,DD4 6QY,DD4 6QY
85,11486,852,15,679,679,160,545,59,5,8,10177,2315,202201,S08000030,DD4 6QY,DD4 6QY
86,11645,1093,23,825,829,206,775,80,5,5,14124,3011,202201,S08000030,DD4 6QY,DD4 6QY
87,11645,1093,23,825,829,206,775,80,5,5,14124,3011,202201,S08000030,DD4 6QY,DD4 6QY
88,11645,1093,23,825,829,206,775,80,5,5,14124,3011,202201,S08000030,DD4 6QY,DD4 6QY
89,11650,716,20,603,605,102,493,72,0,10,9166,2008,202201,S08000030,DD4 6SW,DD4 6SW
90,11650,716,20,603,605,102,493,72,0,10,9166,2008,202201,S08000030,DD4 6SW,DD4 6SW
