,postcode,loneliness_zscore,ranked,deciles
0,AB101NW,-2.2816682263950834,131.0,1
1,AB101QB,7.929573851957642,730.0,9
2,AB101UT,2.582971321693861,633.0,8
3,AB101YE,1.1029059041762808,535.0,7
4,AB107QQ,-1.7355480574061908,192.0,2
5,AB117XH,3.7624073742651163,675.0,9
6,AB118ER,0.29226152218832024,448.0,6
7,AB124QP,-2.059730859602279,149.0,2
8,AB125NA,-1.9179924086776066,173.0,2
9,AB140RP,-1.8547243032440761,181.0,2
10,AB154ZT,-0.010126840953767452,411.0,5
11,AB157YT,-0.014283115356779258,409.0,5
12,AB158TB,-3.1714356956807768,63.0,0
13,AB159EP,-5.370233227827782,8.0,0
14,AB159LQ,5.030347189755843,701.0,9
15,AB217NQ,3.571814572354928,668.0,9
16,AB219AN,-0.4618172362388069,342.0,4
17,AB219DG,-5.535440570908773,6.0,0
18,AB228LD,1.7512799236066576,590.0,8
19,AB228ZP,1.341467528739296,559.0,7
20,AB242AS,0.32511798742358844,454.0,6
21,AB243NG,4.161858638115078,686.0,9
22,AB245AU,0.3770792986178581,465.0,6
23,AB245HT,21.457329189851443,737.0,9
24,AB245RS,-1.365627288245289,228.0,3
25,AB251QB,1.5053004019300424,569.0,7
26,AB252AY,-0.8189526078861935,298.0,4
27,AB252XE,2.162631233189113,608.0,8
28,AB253TX,0.22626168500637717,441.0,5
29,AB301GX,-0.6153084365865694,323.0,4
30,AB301XU,1.8433951590583604,596.0,8
31,AB314JQ,0.8398363998745857,513.0,6
32,AB315XS,-1.1040231146078807,256.0,3
33,AB326FG,0.9294433781796064,523.0,7
34,AB338FL,-1.9098150026697318,176.0,2
35,AB345HQ,-2.0078701867184034,163.0,2
36,AB355NN,-1.0881884524606709,257.0,3
37,AB355WR,-0.5586110980829226,332.0,4
38,AB368XB,1.92878689074908,599.0,8
39,AB379AN,-0.1282653253300559,390.0,5
40,AB389PR,0.22783059953257173,442.0,5
41,AB392EL,0.8031745845989207,508.0,6
42,AB417NX,3.118751416584357,651.0,8
43,AB419AH,1.5584290673295071,574.0,7
44,AB420QQ,1.5820953106133853,579.0,7
45,AB422XA,-0.2825781019086658,373.0,5
46,AB425GP,2.5843298573090885,634.0,8
47,AB436NE,3.219628445568709,655.0,8
48,AB438QJ,7.486088945065705,727.0,9
49,AB439JW,-2.824180293752351,87.0,1
