postcode,loneliness_zscore,ranked,deciles
AB101NW,-2.5985751360382427,110.0,1
AB101QB,8.796149376491078,729.0,9
AB101UT,1.7619276175172867,587.0,8
AB101YE,0.3663299056961352,454.0,6
AB107QQ,-1.8698761921778642,169.0,2
AB117XH,3.2978430996675296,650.0,8
AB118ER,1.1793913046372249,538.0,7
AB124QP,-2.2575119653796096,135.0,1
AB125NA,-2.4992969943116465,117.0,1
AB140RP,-1.6003983741110999,198.0,2
AB154ZT,0.8965137575837943,511.0,6
AB157YT,-0.40117488124200795,357.0,4
AB158TB,-4.9862377294476605,10.0,0
AB159EP,-4.244298929280435,24.0,0
AB159LQ,5.855276924429443,705.0,9
AB217NQ,2.9415696186226565,638.0,8
AB219AN,-0.5490841716661563,337.0,4
AB219DG,-4.5475995347609945,14.0,0
AB228LD,1.2778137786337886,548.0,7
AB228ZP,0.8823106314457476,508.0,6
AB242AS,1.0511783808824313,530.0,7
AB243NG,6.858838274642745,717.0,9
AB245AU,0.48752040292839954,468.0,6
AB245HT,20.595723875143776,733.0,9
AB245RS,-1.235728670634677,246.0,3
AB251QB,2.1285141225537823,611.0,8
AB252AY,-0.28068171837256006,374.0,5
AB252XE,2.1708256345563917,613.0,8
AB253TX,0.3730894420606386,455.0,6
AB301GX,-0.37032629675727236,361.0,4
AB301XU,0.9286279887599287,514.0,7
AB314JQ,1.551730099164312,572.0,7
AB315XS,-0.6839793161114984,313.0,4
AB326FG,1.1705796271508337,537.0,7
AB338FL,-2.1936864684042185,138.0,1
AB345HQ,-2.3781942529151943,124.0,1
AB355NN,0.49886664011491993,470.0,6
AB355WR,0.8200709564913993,505.0,6
AB368XB,2.817972771509302,635.0,8
AB379AN,0.6822800731070531,494.0,6
AB389PR,0.07670149016281175,421.0,5
AB392EL,0.19601969353579174,434.0,5
AB417NX,3.3800403462568243,656.0,8
AB419AH,0.7256138238994978,500.0,6
AB420QQ,2.319782515098914,616.0,8
AB422XA,-0.5964254938310679,328.0,4
AB425GP,3.361045652733513,653.0,8
AB436NE,4.7783659769185345,689.0,9
AB438QJ,8.050412565545233,726.0,9
AB439JW,-2.688860399007636,103.0,1
AB439NH,-3.7948793532482754,40.0,0
AB451JD,0.22658997473403808,437.0,5
AB452GB,1.92063725007247,601.0,8
AB510JZ,-0.3191102018332501,367.0,4
AB513UL,-1.4683398910201086,216.0,2
AB515NB,-4.339296400709008,18.0,0
AB526JJ,1.4134107797926585,559.0,7
AB534DQ,-1.2277319316590543,247.0,3
AB548EX,-1.8491214660746946,171.0,2
AB554FJ,0.007849559411735152,409.0,5
AB555DJ,0.723457202010056,499.0,6
AB561FP,0.714950351118682,498.0,6
AB561JE,-0.9614533322061252,284.0,3
DD100RU,-0.02801113024297569,404.0,5
DD108TY,-0.4697015881460075,345.0,4
DD111AD,1.491175476327921,564.0,7
DD111EN,-3.298567617879156,61.0,0
DD111ES,-0.7748396504832753,309.0,4
DD114TX,6.649569192957205,716.0,9
DD11PB,1.5074516102938675,566.0,7
DD11PF,-0.9070686831250308,289.0,3
DD14JH,0.6541789919037402,489.0,6
DD15LA,3.1204512630011507,643.0,8
DD22HZ,-1.5944746107706589,199.0,2
DD23BR,-1.9826909038399396,159.0,2
DD24AD,-1.099443379049166,263.0,3
DD25AD,-1.9226379448241966,163.0,2
DD25NH,-1.9249015229567092,162.0,2
DD36NF,-2.335488173430845,128.0,1
DD38DB,0.4393951389644955,466.0,6
DD38NE,-2.1537812800058127,142.0,1
DD40HJ,-0.917154534061385,287.0,3
DD46DG,-0.8988894409986193,291.0,3
DD46EL,-2.322056455180224,129.0,1
DD46PP,-1.4363504452294542,224.0,3
DD46QY,-0.36462792315113624,363.0,4
DD46RB,-2.242435494415965,137.0,1
DD46SW,0.5489833446757202,478.0,6
DD47AA,-0.8562966766060228,298.0,4
DD51DU,2.0381557820380607,605.0,8
DD51EP,0.90703493910727,512.0,6
DD54LX,-1.7340184576997109,184.0,2
DD68DJ,-1.1518282720862123,258.0,3
