sdz21_code,loneliness_zscore,rank,deciles
N21000001,1.0033992988346372,605.0,7.0
N21000002,-0.814175341976531,240.0,2.0
N21000003,-1.7028898798669483,118.0,1.0
N21000004,1.6841125713061271,712.0,8.0
N21000005,1.508587589230232,676.0,7.0
N21000006,0.34533865442941397,505.0,5.0
N21000007,0.840105122947967,579.0,6.0
N21000008,0.7830383805508568,567.0,6.0
N21000009,0.9327004595967658,596.0,7.0
N21000010,1.0428641954930726,608.0,7.0
N21000011,0.9998764814613633,604.0,7.0
N21000012,0.4909313078692087,522.0,6.0
N21000013,1.239455455325451,630.0,7.0
N21000014,1.234191512237842,628.0,7.0
N21000015,0.7196548015345576,553.0,6.0
N21000016,0.5717162295171635,531.0,6.0
N21000017,0.8781773884565274,586.0,6.0
N21000018,0.856522006812301,583.0,6.0
N21000019,-1.7193922916379802,115.0,1.0
N21000020,-2.1346803512434853,68.0,0.0
N21000021,-2.1903651298879554,65.0,0.0
N21000022,-1.9403353221655464,85.0,0.0
N21000023,-1.9576825640652582,81.0,0.0
N21000024,-1.24280780922659,175.0,2.0
N21000025,-1.7173260331453366,116.0,1.0
N21000026,-1.4178608051365456,154.0,1.0
N21000027,-0.5848918328100463,299.0,3.0
N21000028,-0.43277487772441386,354.0,4.0
N21000029,-0.5490200565598949,315.0,3.0
N21000030,-0.46568437480227826,342.0,4.0
N21000031,-0.5944842258954444,297.0,3.0
N21000032,-0.581737151564047,302.0,3.0
N21000033,-0.14682791942129486,418.0,4.0
N21000034,-0.4799250117312572,338.0,3.0
N21000035,-0.4600052005150924,346.0,4.0
N21000036,-0.5829457148564046,301.0,3.0
N21000037,-0.583973733443403,300.0,3.0
N21000038,-0.3565655092926334,373.0,4.0
N21000039,-0.5969075443140268,295.0,3.0
N21000040,-0.673070503441806,273.0,3.0
N21000041,-0.6931605304624395,268.0,3.0
N21000042,-0.7968712341335797,245.0,2.0
N21000043,-0.7516632951684554,253.0,2.0
N21000044,-0.640108084825255,282.0,3.0
N21000045,-0.6315157827320295,284.0,3.0
N21000046,-0.7358228939144866,257.0,3.0
N21000047,-0.8751924507676124,227.0,2.0
N21000048,-0.4402479494322918,352.0,4.0
N21000049,-0.44462855010749686,350.0,4.0
N21000050,-0.4194063267490713,360.0,4.0
N21000051,-0.46691803992178055,341.0,4.0
N21000052,-0.5159687629598897,329.0,3.0
N21000053,-0.3127719152574924,382.0,4.0
N21000054,-0.589089063234318,298.0,3.0
N21000055,-0.483355904889609,336.0,3.0
N21000056,-0.3632457217175426,372.0,4.0
N21000057,0.05801410854828892,453.0,5.0
N21000058,-0.11550795317768907,427.0,5.0
N21000059,-2.523664408010915,34.0,0.0
N21000060,-1.0555659164207722,202.0,2.0
N21000061,-1.0419625768224163,205.0,2.0
N21000062,-0.3318557555639817,377.0,4.0
N21000063,-0.33562407371228953,376.0,4.0
N21000064,-0.09459036479059518,433.0,5.0
N21000065,-0.8514305436864772,233.0,2.0
N21000066,-0.7339103602201796,258.0,3.0
N21000067,-0.8318342113004291,237.0,2.0
N21000068,1.8158517247809112,726.0,8.0
N21000069,1.050157988081054,609.0,7.0
N21000070,1.3594913039770877,654.0,7.0
N21000071,1.6207523960265136,701.0,8.0
N21000072,1.0885298907932794,612.0,7.0
N21000073,2.1149411546346126,757.0,8.0
N21000074,1.474842989546793,672.0,7.0
N21000075,0.7492240428731846,559.0,6.0
N21000076,0.600765361364417,537.0,6.0
N21000077,0.12268052066474355,460.0,5.0
N21000078,0.24227255464536962,487.0,5.0
N21000079,2.857943751418884,811.0,9.0
N21000080,0.5041006209188721,523.0,6.0
N21000081,0.5930532946150749,534.0,6.0
N21000082,0.857441006513446,584.0,6.0
N21000083,0.9698930442127117,602.0,7.0
N21000084,1.1234842669438945,619.0,7.0
N21000085,0.5947578225240496,535.0,6.0
N21000086,0.92995047390419,595.0,7.0
N21000087,1.0558804813399416,610.0,7.0
N21000088,0.37738507919140657,510.0,6.0
N21000089,0.8750099398746763,585.0,6.0
N21000090,0.7228778217024244,554.0,6.0
N21000091,0.27531116593102195,493.0,5.0
N21000092,0.1610373863440812,470.0,5.0
N21000093,-0.21432840044227078,402.0,4.0
N21000094,-0.1540996986544401,413.0,4.0
N21000095,-0.18313797948191923,407.0,4.0
N21000096,-0.0906421919936614,435.0,5.0
N21000097,-0.5588939997445681,310.0,3.0
N21000098,0.040692464359530986,451.0,5.0
N21000099,0.18405483550228957,476.0,5.0
N21000100,-0.010197730754393576,443.0,5.0
N21000101,0.5858752388419782,532.0,6.0
N21000102,0.44520029362064417,520.0,6.0
N21000103,0.8080923682947581,572.0,6.0
N21000104,0.1566228071756147,469.0,5.0
N21000105,0.6275531847264593,540.0,6.0
N21000106,0.40559892591284974,514.0,6.0
N21000107,-0.6468513080728826,280.0,3.0
N21000108,-0.11006714604087323,429.0,5.0
N21000109,-0.06987332926481024,438.0,5.0
N21000110,-0.2594462247867694,392.0,4.0
N21000111,-0.30733742683376364,384.0,4.0
N21000112,0.028902880912747578,450.0,5.0
N21000113,-0.38238831097323206,369.0,4.0
N21000114,0.6427865943541998,544.0,6.0
N21000115,-0.2593516621031195,393.0,4.0
N21000116,0.09483758644176439,455.0,5.0
N21000117,0.5486824661052815,527.0,6.0
N21000118,0.2416146234167129,485.0,5.0
N21000119,0.20403574448506953,478.0,5.0
N21000120,0.2579321147576841,490.0,5.0
N21000121,0.3258670045650164,501.0,5.0
N21000122,0.1696944505700888,474.0,5.0
N21000123,0.23731308095637846,484.0,5.0
N21000124,0.7505644928843239,560.0,6.0
N21000125,0.8312842209370536,576.0,6.0
N21000126,0.948744850387387,598.0,7.0
N21000127,0.2994992509205055,497.0,5.0
N21000128,1.3745730382043437,659.0,7.0
N21000129,0.3911976202075026,511.0,6.0
N21000130,0.47645284115851716,521.0,6.0
N21000131,0.3694717915336449,509.0,6.0
N21000132,0.35721878729716827,508.0,5.0
N21000133,0.3163890880785233,500.0,5.0
N21000134,1.2834942039268644,638.0,7.0
N21000135,1.9702833292393565,743.0,8.0
N21000136,-0.21608219913899618,401.0,4.0
N21000137,-0.5573762569538322,312.0,3.0
N21000138,-0.14768773523617557,416.0,4.0
N21000139,-0.09880621114447487,432.0,5.0
N21000140,-0.14172323088487632,420.0,4.0
N21000141,-0.608391625998527,288.0,3.0
N21000142,-0.11990685461632382,425.0,5.0
N21000143,-0.23809705168194062,397.0,4.0
N21000144,-0.23977075465792616,396.0,4.0
N21000145,-0.43234169859170685,355.0,4.0
N21000146,0.1503189282240147,467.0,5.0
N21000147,-0.88153027333178,223.0,2.0
N21000148,2.378550933161766,774.0,9.0
N21000149,1.1129951340610433,615.0,7.0
N21000150,-0.8393996610780261,236.0,2.0
N21000151,-2.0398540762615776,78.0,0.0
N21000152,-0.84003243501576,235.0,2.0
N21000153,-1.0519423989629313,203.0,2.0
N21000154,-0.6735203348659707,272.0,3.0
N21000155,-0.8132092044809077,241.0,2.0
N21000156,-1.5013566897077637,144.0,1.0
N21000157,-1.3557816652006294,165.0,1.0
N21000158,-2.465065930742103,41.0,0.0
N21000159,-1.0415487678095454,206.0,2.0
N21000160,-0.18287224233349006,408.0,4.0
N21000161,-0.3940377417546297,368.0,4.0
N21000162,0.5160542989149598,525.0,6.0
N21000163,-0.09311353886861264,434.0,5.0
N21000164,-0.8943701920197488,222.0,2.0
N21000165,-0.04572049604254203,441.0,5.0
N21000166,-0.19722671867107133,405.0,4.0
N21000167,-0.7313621407992201,260.0,3.0
N21000168,-0.3187915344030392,379.0,4.0
N21000169,-1.0836626726072118,198.0,2.0
N21000170,-1.2413495516030146,176.0,2.0
N21000171,0.7927366185048742,568.0,6.0
N21000172,0.9055008106787884,590.0,6.0
N21000173,-0.9316565028379674,218.0,2.0
N21000174,0.7592426540504594,561.0,6.0
N21000175,-1.4050912650877645,157.0,1.0
N21000176,-1.7277904196714877,113.0,1.0
N21000177,-2.0236512790524714,79.0,0.0
N21000178,-1.640976556471901,127.0,1.0
N21000179,-0.4710492813928827,340.0,4.0
N21000180,-0.9614658140648643,215.0,2.0
N21000181,-1.1830628839891775,184.0,2.0
N21000182,-0.5514604809466788,314.0,3.0
