dz11_code,loneliness_zscore,rank,deciles
S01006506,0.25656285766028153,4683.0,7
S01006507,0.015088038348546499,4182.0,7
S01006508,0.05847528322164433,4273.0,7
S01006509,-0.31139251029684945,3304.0,5
S01006510,-0.24151294927373063,3490.0,6
S01006511,-0.2588841725709076,3445.0,6
S01006512,0.37987901365087295,4980.0,8
S01006513,0.11709386951026418,4382.0,7
S01006514,0.17434869157862973,4504.0,7
S01006515,0.35399246061285466,4910.0,8
S01006516,-0.004143544826936223,4139.0,7
S01006517,0.6288699432417194,5410.0,8
S01006518,0.6464581156715501,5431.0,8
S01006519,0.9801719158664658,5742.0,9
S01006520,0.7792457999633811,5569.0,9
S01006521,1.7843393960607432,6245.0,10
S01006522,1.8060670308757563,6258.0,10
S01006523,1.8339927915311065,6290.0,10
S01006524,1.1081269203183524,5838.0,9
S01006525,1.6311520961620811,6143.0,10
S01006526,1.3434904047713312,5974.0,9
S01006527,1.4049211723455672,6010.0,9
S01006528,0.9553642978140592,5723.0,9
S01006529,1.7085539295995058,6193.0,10
S01006530,1.5980384583429459,6125.0,10
S01006531,1.3391116607169247,5972.0,9
S01006532,1.8982841384658908,6333.0,10
S01006533,1.9540980687093565,6377.0,10
S01006534,2.1317026656123055,6476.0,10
S01006535,2.217499790579572,6520.0,10
S01006536,2.3760364465463777,6581.0,10
S01006537,1.7578355343248167,6221.0,10
S01006538,1.5899264250342104,6119.0,9
S01006539,1.8205748825716943,6275.0,10
S01006540,1.7268032005420004,6207.0,10
S01006541,1.715900406664052,6198.0,10
S01006542,1.7925188300216572,6253.0,10
S01006543,1.7944477685539635,6254.0,10
S01006544,1.3861451178148492,5997.0,9
S01006545,1.6334484544498264,6145.0,10
S01006546,1.2503067161912274,5920.0,9
S01006547,1.1858632319497897,5886.0,9
S01006548,1.8621322275220242,6319.0,10
S01006549,1.818747520569142,6273.0,10
S01006550,1.8229786915286523,6278.0,10
S01006551,1.5596849106790842,6101.0,9
S01006552,1.9254748992922215,6355.0,10
S01006553,1.994735175677762,6405.0,10
S01006554,2.156234432355049,6486.0,10
S01006555,1.9684120212912872,6392.0,10
S01006556,1.9708459499543478,6394.0,10
S01006557,1.8985747335128529,6335.0,10
S01006558,2.6371932903162523,6660.0,10
S01006559,2.2832609703911904,6551.0,10
S01006560,2.0880658692129734,6459.0,10
S01006561,2.2157138012770226,6519.0,10
S01006562,2.1032762113475303,6464.0,10
S01006563,2.1983415862053706,6510.0,10
S01006564,3.207044845493372,6747.0,10
S01006565,,,
S01006566,2.93814065093168,6710.0,10
S01006567,3.218459384125637,6749.0,10
S01006568,3.009680827551568,6726.0,10
S01006569,2.782319737662839,6691.0,10
S01006570,2.6063149432392416,6656.0,10
S01006571,2.212121287890692,6516.0,10
S01006572,1.8099079966476914,6262.0,10
S01006573,1.8111837168529847,6263.0,10
S01006574,1.6944317530880224,6185.0,10
S01006575,2.0596603575192933,6439.0,10
S01006576,2.2415658011827855,6530.0,10
S01006577,1.990854960834369,6404.0,10
S01006578,2.478539804987278,6612.0,10
S01006579,,,
S01006580,,,
S01006581,1.8113095702604933,6264.0,10
S01006582,3.1985827866097645,6745.0,10
S01006583,2.7480711443262704,6684.0,10
S01006584,3.3249809534096513,6756.0,10
S01006585,3.2150488498585243,6748.0,10
S01006586,3.73945303997108,6779.0,10
S01006587,3.3525467287004074,6759.0,10
S01006588,4.257275448610363,6792.0,10
S01006589,4.604649726278932,6796.0,10
S01006590,3.2948840722088564,6755.0,10
S01006591,2.95342770769294,6716.0,10
S01006592,2.5848910913693066,6649.0,10
S01006593,2.7797335670187637,6688.0,10
S01006594,2.43571301322023,6601.0,10
S01006595,2.5561395861001586,6638.0,10
S01006596,2.7120402028499826,6676.0,10
S01006597,2.5040611058133577,6620.0,10
S01006598,2.457694640648481,6608.0,10
S01006599,1.9529507001011748,6375.0,10
S01006600,2.1662169447865494,6489.0,10
S01006601,2.3962526183652573,6587.0,10
S01006602,2.4835868573285804,6614.0,10
S01006603,1.7517394762117313,6218.0,10
S01006604,1.3092186917500834,5953.0,9
S01006605,1.3138121602800907,5957.0,9
S01006606,1.745703610751442,6213.0,10
S01006607,1.7722878283397294,6238.0,10
S01006608,1.9581393352886625,6380.0,10
S01006609,1.9182066793640196,6347.0,10
S01006610,1.704409546294083,6192.0,10
S01006611,1.7493884113176648,6215.0,10
S01006612,1.812550159828364,6266.0,10
S01006613,2.038794526031912,6427.0,10
S01006614,2.0575483768000646,6438.0,10
S01006615,2.0117485871498326,6413.0,10
S01006616,2.0796110571221074,6451.0,10
S01006617,2.1206358377586367,6468.0,10
