iz11_code,loneliness_zscore,rank,deciles
S02001236,-0.195026224397475,798.0,6
S02001237,-0.30273637689279564,762.0,5
S02001238,0.951337649658149,1064.0,8
S02001239,0.8549704851630903,1047.0,8
S02001240,1.800037017289177,1173.0,9
S02001241,1.3750914171913884,1122.0,8
S02001242,1.3924899544765197,1126.0,8
S02001243,0.8144570355815243,1042.0,8
S02001244,1.6164888050195867,1155.0,9
S02001245,1.8295384378869504,1178.0,9
S02001246,2.6651064071181914,1246.0,9
S02001247,1.6603519218028022,1162.0,9
S02001248,1.803399913266824,1174.0,9
S02001249,2.957201878256626,1254.0,9
S02001250,3.1801605717826438,1256.0,9
S02001251,2.323652781067745,1228.0,9
S02001252,1.8894679965192718,1182.0,9
S02001253,1.0533041348369814,1087.0,8
S02001254,1.4694670988792058,1133.0,8
S02001255,1.640237346503521,1160.0,9
S02001256,1.9316119708085278,1183.0,9
S02001257,2.0832986697224847,1204.0,9
S02001258,2.352821310174646,1229.0,9
S02001259,3.638653418912215,1267.0,9
S02001260,4.478034488965965,1274.0,9
S02001261,3.588627187134984,1266.0,9
S02001262,2.2384447070511753,1217.0,9
S02001263,2.2832257906380518,1222.0,9
S02001264,2.2922141486231227,1224.0,9
S02001265,1.9359919276537154,1184.0,9
S02001266,1.6587886579288083,1161.0,9
S02001267,1.4824584912615495,1137.0,8
S02001268,1.7028922228531103,1167.0,9
S02001269,1.7919715417480389,1171.0,9
S02001270,1.61139570680922,1154.0,9
S02001271,0.9223292882332673,1054.0,8
S02001272,1.619338795312937,1156.0,9
S02001273,1.1775332395656632,1100.0,8
S02001274,1.2410451644317047,1109.0,8
S02001275,0.06808155510095504,854.0,6
S02001276,0.3498634200377568,925.0,7
S02001277,0.2771364692743567,905.0,7
S02001278,0.5647485022720766,996.0,7
S02001279,1.348605669703623,1118.0,8
S02001280,1.3066663190543928,1115.0,8
S02001281,1.6731022139373628,1164.0,9
S02001282,1.6942426666918209,1166.0,9
S02001283,1.8844531909661701,1181.0,9
S02001284,1.852457036560323,1179.0,9
S02001285,0.26147070144737167,900.0,7
S02001286,-0.3762814702795012,731.0,5
