iz11_code,loneliness_zscore,rank,deciles
S02001236,-0.3832233349082811,731.0,5
S02001237,-0.6935130825571411,580.0,4
S02001238,1.008715256892346,1068.0,8
S02001239,0.07826791319001031,853.0,6
S02001240,1.6361698771285391,1156.0,9
S02001241,0.9403217398498048,1054.0,8
S02001242,0.9916986119502369,1065.0,8
S02001243,0.8043454022354584,1038.0,8
S02001244,1.5937876736131864,1152.0,9
S02001245,1.6607132157395281,1161.0,9
S02001246,2.8880092310310346,1249.0,9
S02001247,1.3189696200634147,1114.0,8
S02001248,1.6037619883475263,1153.0,9
S02001249,3.3529517179505532,1254.0,9
S02001250,3.895103415561498,1268.0,9
S02001251,2.3568760320403666,1225.0,9
S02001252,1.7252666981378486,1165.0,9
S02001253,0.2771913949141992,905.0,7
S02001254,1.151766318696603,1091.0,8
S02001255,1.469339123783663,1138.0,8
S02001256,1.825057174252072,1173.0,9
S02001257,1.9138440339839788,1180.0,9
S02001258,2.498274973930015,1234.0,9
S02001259,4.768363762085388,1275.0,9
S02001260,5.588124754883327,1278.0,9
S02001261,4.542672079458483,1272.0,9
S02001262,2.1753841976349766,1206.0,9
S02001263,2.2451594612007972,1217.0,9
S02001264,2.1919163546874487,1208.0,9
S02001265,1.6489373307019217,1159.0,9
S02001266,1.3933347769481004,1127.0,8
S02001267,1.2305862439790083,1101.0,8
S02001268,1.4944584509884615,1140.0,8
S02001269,1.6798961832590358,1162.0,9
S02001270,1.7270676375575722,1166.0,9
S02001271,0.8763790719865203,1048.0,8
S02001272,1.5672074699119063,1147.0,8
S02001273,0.9453290831928779,1055.0,8
S02001274,0.9779609760465067,1059.0,8
S02001275,-0.3319251250456202,747.0,5
S02001276,-0.3152618624219142,753.0,5
S02001277,-0.023316815563601,830.0,6
S02001278,0.5199091483475696,973.0,7
S02001279,1.0792901757442392,1082.0,8
S02001280,1.1447575417126867,1088.0,8
S02001281,1.5167791779077924,1141.0,8
S02001282,1.5484912940595805,1143.0,8
S02001283,1.7804375671280248,1171.0,9
S02001284,1.774154383319873,1170.0,9
S02001285,0.29025206387871516,909.0,7
S02001286,-0.4502893836696975,705.0,5
S02001287,0.13067981415066354,866.0,6
S02001288,0.25390047662723264,901.0,7
S02001289,0.7124800323819142,1028.0,8
S02001290,0.21710527995567894,889.0,6
S02001291,0.3926162679719278,939.0,7
S02001292,0.41231845551462754,943.0,7
S02001293,0.5337127572639725,979.0,7
S02001294,-0.6840501550860936,587.0,4
S02001295,0.4873654663179467,962.0,7
S02001296,-0.4475850772249723,707.0,5
S02001297,-0.6799090735813144,588.0,4
S02001298,-0.7432789277439077,561.0,4
S02001299,-0.28682691173822034,759.0,5
S02001300,-0.5081357802996636,673.0,5
S02001301,-0.8667546472433906,504.0,3
S02001302,-2.3747604028221154,64.0,0
S02001303,-0.8953993406338738,490.0,3
S02001304,-1.1214987128668945,402.0,3
