lsoa21_code,loneliness_zscore,rank,deciles
W01000003,0.922460140552559,1200.0,6.0
W01000004,0.47914109697158463,929.0,4.0
W01000005,-1.1217999494139588,334.0,1.0
W01000006,-0.7485364864227587,436.0,2.0
W01000007,-0.632530081578626,470.0,2.0
W01000008,-1.6925051425151256,209.0,1.0
W01000009,-0.26689886861870815,576.0,3.0
W01000010,0.24432846337541717,777.0,4.0
W01000011,-3.5067892641644987,71.0,0.0
W01000012,-2.6522180938317814,127.0,0.0
W01000013,-1.7578396803847136,206.0,1.0
W01000014,-2.4259190875329226,140.0,0.0
W01000015,-2.6301683223756056,129.0,0.0
W01000016,0.6017248254849448,1004.0,5.0
W01000017,-3.3326258424806756,84.0,0.0
W01000018,-0.33513253708225926,553.0,2.0
W01000019,-0.5370861871913178,496.0,2.0
W01000021,-0.04260217785059386,662.0,3.0
W01000022,-1.8193486327431523,197.0,1.0
W01000023,-1.3959412455463018,269.0,1.0
W01000024,-1.5301764918103167,246.0,1.0
W01000025,-1.2699217430263219,297.0,1.0
W01000026,-1.1812331470386341,320.0,1.0
W01000027,-2.2730926277041656,157.0,0.0
W01000028,-0.9220576547204931,390.0,2.0
W01000029,-5.860055363783045,10.0,0.0
W01000030,-0.1375129803902622,628.0,3.0
W01000031,-0.8500770046127201,409.0,2.0
W01000033,-5.779253256639601,12.0,0.0
W01000034,-0.26853516480908224,574.0,3.0
W01000035,-1.5815227388028075,235.0,1.0
W01000036,-0.8560155421433093,407.0,2.0
W01000037,0.2580692651631799,794.0,4.0
W01000038,-2.839110276794846,115.0,0.0
W01000040,-2.6290936661354882,130.0,0.0
W01000041,-2.701732558337995,124.0,0.0
W01000042,-2.5712992833387647,134.0,0.0
W01000044,-2.3065346386850214,154.0,0.0
W01000047,-0.39307659244296544,535.0,2.0
W01000050,-1.139363385533816,326.0,1.0
W01000051,0.8433955335969447,1143.0,5.0
W01000052,-2.9404767997715715,109.0,0.0
W01000053,-3.3740147349025382,78.0,0.0
W01000054,-4.983772904590462,24.0,0.0
W01000056,3.627756283671664,1895.0,9.0
W01000057,0.25246971536986273,786.0,4.0
W01000059,-4.577610163716728,33.0,0.0
W01000060,0.17559999053898268,742.0,3.0
W01000061,0.34599650854890407,846.0,4.0
W01000062,-0.5655450834365605,490.0,2.0
W01000063,-1.5536618027212072,241.0,1.0
W01000064,-6.225455558390529,7.0,0.0
W01000065,5.316876552738566,1906.0,9.0
W01000066,-3.4560502956179078,73.0,0.0
W01000067,0.2240139219895402,770.0,4.0
W01000068,0.30100118910837415,821.0,4.0
W01000070,0.18206218318825212,746.0,3.0
W01000071,-0.04487519884766462,661.0,3.0
W01000072,-4.71080718396238,28.0,0.0
W01000073,-2.723682062058864,121.0,0.0
W01000074,-1.350391991759921,280.0,1.0
W01000075,-1.9049098751954157,188.0,0.0
W01000076,-0.2720726691670201,573.0,2.0
W01000077,-0.26618572703234056,577.0,3.0
W01000078,-1.2308648591907574,306.0,1.0
W01000080,0.16454721177379525,736.0,3.0
W01000081,-1.2280522672571412,308.0,1.0
W01000082,-0.9591448321132774,378.0,1.0
W01000083,-0.0309888479760616,664.0,3.0
W01000084,0.37507380661944184,868.0,4.0
W01000085,-0.13014685225990405,631.0,3.0
W01000086,-2.3278007684883555,151.0,0.0
W01000087,-3.7059086444279385,59.0,0.0
W01000088,-3.320406832781268,87.0,0.0
W01000089,-0.7193722588913146,443.0,2.0
W01000090,-1.1171308823300172,335.0,1.0
W01000091,-0.7594695405806358,431.0,2.0
W01000092,-0.3255766751267551,554.0,2.0
W01000093,-4.084042342249804,52.0,0.0
W01000094,0.4535122879712697,915.0,4.0
W01000095,0.8501093668728814,1150.0,6.0
W01000096,0.4834197282128641,931.0,4.0
