postcode,loneliness_zscore
CF834AU,2.394639472087259
LL113NS,0.923322728068843
CH51XS,-9.339888493607395
NP447XX,-9.481487822333772
NP447XX,-5.242754783449612
NP447XX,-7.3436840507161065
NP447XX,-8.647296969943556
SA612PZ,-8.05779193564279
LL185UJ,-7.575873594688374
LL185UJ,-6.914537952802241
LL572PW,-8.738657768777813
SA66NL,-9.054252073453846
SA313BB,-8.034008108711822
SY13GZ,-8.60164963318209
NP201EE,-6.069981816109705
LD16AS,-6.304969109006577
LD39DD,-6.684719743559284
SA311DS,-6.083406227463549
NP45YA,-6.203828200382474
CF625QN,-8.252573926657103
SY245JE,-10.74992732033407
SA487HA,-4.811666589566683
SA487HA,-10.03614301932645
LL777PS,-5.745437338361814
LL552PH,-5.533856470458148
SA726SY,-5.782070138364943
LL219UB,-1.4607378024810331
SA726HL,1.5614923539857863
CH73PG,1.5926628818231108
LL111EB,1.1028085577177897
LL551HU,-5.59673434078208
LL137TD,-8.565482323287071
CH51PU,-6.167059764440575
NP234BR,-5.420970953437577
LL183EY,-5.534811382941165
CF240SZ,-1.458240580964157
LL260AR,-10.74992732033407
NP46LR,-5.828685171751187
LL210DN,-10.662159611739717
CF328UN,-7.328182988542498
NP40TB,3.2333157014914216
CF356AP,-0.904337975473157
SA113SU,-7.5140407969399545
CF634RU,-8.51869805383338
CF240SZ,-8.222107508518791
CF144XW,-6.109025802620814
SA153JH,1.0140083573077678
SA149BN,0.7203332414093999
SY162DW,-10.74992732033407
SY162DW,-10.58751341127039
SA127BJ,1.1976306906375447
SA181EG,0.41697024444744685
SA92GH,0.9730065124285632
SA112FP,0.3678717334458199
NP246EE,-5.275148002512577
SA44UU,-10.74992732033407
SA313BB,-5.604528971468933
CF102FE,-5.264860195298106
CF634HD,-6.545750513616487
CF372BN,-6.242393103963689
SA612PZ,-3.508687565107654
SA413SJ,-10.74590183639212
SY186EF,-10.736374115371492
SA17HJ,-9.501739712249748
LL301LB,1.2976367486834306
LD30LU,-9.075280154196427
SA127BX,-10.74992732033407
LL552YE,-10.673219532983435
LD37JP,-10.74992732033407
LL111EB,-6.71405169040853
LL298PD,-6.387399129776537
LL552PH,-5.7532248375336374
SA148QF,-5.834499419469101
LL137TD,-0.34586614464907556
SA148QF,11.262780285815401
SA311DS,-10.74992732033407
NP116YF,-10.74992732033407
SA726SX,-10.274734835061341
LL572PW,-10.61950214884432
LL499AQ,-10.608683471024895
LL652QA,-10.74992732033407
SA312AF,-8.047238161261623
LL151BP,0.9138576191905375
LL181DA,0.5354712212594437
LL112SA,1.6237386167831591
CH87UP,-0.22491252649136817
LL114UF,1.7351605543036697
LL299NP,-1.407816723154256
LL199LN,-0.4781382739663905
LL208RZ,1.616292124547102
LL129NL,0.9819092575181609
LL185AU,-0.19513892968247315
CH53PA,1.3491014264229857
LL113SA,2.7606549852290754
CH71SS,0.731209055709913
CH73PG,7.205764373507579
LL142EN,2.5198814519614694
LL115RR,8.122708868131294
